epoch,elapsed_s,cpu_pct,mem_used_mb,mem_pressure,swap_ins,swap_outs,pageins,pageouts,therm
1790145114,0,40.07,2641.11,96,,,,,
1790145145,31,28.13,3158.59,39,,,,,
1790145179,65,40.56,3948.98,80,,,,,
1790145209,95,39.69,5343.41,85,,,,,
1790145239,125,40.12,6017.81,86,,,,,
1790145270,156,40.19,6016.67,84,,,,,
1790145300,186,39.03,6916.68,86,,,,,
1790146255,1141,45.18,6705.33,84,,,,,
1790146286,1172,33.32,6851.6,86,,,,,
1790146893,1779,31.64,6888.88,86,,,,,
1790146923,1809,40.06,6512,86,,,,,
1790147878,2764,33.36,6872.31,86,,,,,
1790148833,3719,42.73,6480.15,84,,,,,
1790148864,3750,45.3,6823.78,86,,,,,
1790149819,4705,49.99,6925.8,86,,,,,
1790149849,4735,38.71,6760.54,86,,,,,
1790150566,5452,37.33,6802.2,86,,,,,
1790150596,5482,31.88,6177.93,77,,,,,
1790150627,5513,34.84,6819,86,,,,,
1790151569,6455,39.66,6937.55,86,,,,,
1790151600,6486,35.08,6714.44,86,,,,,
1790151630,6516,30.83,6672.29,85,,,,,
1790152580,7466,42.66,6804.14,86,,,,,
